,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,58.93 ± 0.00,79.36 ± 0.00,80.02 ± 0.00,76.69 ± 0.00,77.42 ± 0.00
tin,50.73 ± 0.00,83.31 ± 0.00,88.26 ± 0.00,73.94 ± 0.00,77.42 ± 0.00
nearood,54.83 ± 0.00,81.34 ± 0.00,84.14 ± 0.00,75.32 ± 0.00,77.42 ± 0.00
mnist,50.76 ± 0.00,78.91 ± 0.00,53.13 ± 0.00,94.90 ± 0.00,77.42 ± 0.00
svhn,57.37 ± 0.00,78.87 ± 0.00,66.43 ± 0.00,88.19 ± 0.00,77.42 ± 0.00
texture,63.02 ± 0.00,77.90 ± 0.00,85.68 ± 0.00,64.14 ± 0.00,77.42 ± 0.00
places365,55.77 ± 0.00,80.73 ± 0.00,62.65 ± 0.00,92.23 ± 0.00,77.42 ± 0.00
farood,56.73 ± 0.00,79.10 ± 0.00,66.98 ± 0.00,84.87 ± 0.00,77.42 ± 0.00
