,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,60.09 ± 0.00,78.44 ± 0.00,79.33 ± 0.00,75.92 ± 0.00,77.42 ± 0.00
tin,50.08 ± 0.00,82.60 ± 0.00,88.08 ± 0.00,72.91 ± 0.00,77.42 ± 0.00
nearood,55.08 ± 0.00,80.52 ± 0.00,83.70 ± 0.00,74.41 ± 0.00,77.42 ± 0.00
mnist,50.97 ± 0.00,78.74 ± 0.00,54.80 ± 0.00,94.99 ± 0.00,77.42 ± 0.00
svhn,63.71 ± 0.00,75.95 ± 0.00,61.32 ± 0.00,87.52 ± 0.00,77.42 ± 0.00
texture,61.42 ± 0.00,76.98 ± 0.00,85.34 ± 0.00,62.89 ± 0.00,77.42 ± 0.00
places365,55.42 ± 0.00,79.87 ± 0.00,62.33 ± 0.00,91.91 ± 0.00,77.42 ± 0.00
farood,57.88 ± 0.00,77.89 ± 0.00,65.95 ± 0.00,84.33 ± 0.00,77.42 ± 0.00
