,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,86.87 ± 0.00,54.90 ± 0.00,55.42 ± 0.00,54.07 ± 0.00,77.43 ± 0.00
tin,79.70 ± 0.00,61.03 ± 0.00,72.00 ± 0.00,48.00 ± 0.00,77.43 ± 0.00
nearood,83.28 ± 0.00,57.97 ± 0.00,63.71 ± 0.00,51.03 ± 0.00,77.43 ± 0.00
mnist,68.59 ± 0.00,70.59 ± 0.00,39.56 ± 0.00,92.99 ± 0.00,77.43 ± 0.00
svhn,63.53 ± 0.00,77.09 ± 0.00,61.56 ± 0.00,87.86 ± 0.00,77.43 ± 0.00
texture,70.67 ± 0.00,76.40 ± 0.00,83.56 ± 0.00,67.54 ± 0.00,77.43 ± 0.00
places365,80.14 ± 0.00,61.79 ± 0.00,37.61 ± 0.00,83.01 ± 0.00,77.43 ± 0.00
farood,70.73 ± 0.00,71.47 ± 0.00,55.58 ± 0.00,82.85 ± 0.00,77.43 ± 0.00
