,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,81.81 ± 0.00,68.37 ± 0.00,65.85 ± 0.00,67.22 ± 0.00,77.42 ± 0.00
tin,63.17 ± 0.00,76.18 ± 0.00,83.18 ± 0.00,65.25 ± 0.00,77.42 ± 0.00
nearood,72.49 ± 0.00,72.27 ± 0.00,74.52 ± 0.00,66.24 ± 0.00,77.42 ± 0.00
mnist,50.46 ± 0.00,80.92 ± 0.00,57.93 ± 0.00,95.72 ± 0.00,77.42 ± 0.00
svhn,42.23 ± 0.00,88.60 ± 0.00,78.93 ± 0.00,94.84 ± 0.00,77.42 ± 0.00
texture,48.42 ± 0.00,88.06 ± 0.00,92.08 ± 0.00,83.05 ± 0.00,77.42 ± 0.00
places365,71.23 ± 0.00,72.47 ± 0.00,48.30 ± 0.00,89.17 ± 0.00,77.42 ± 0.00
farood,53.09 ± 0.00,82.51 ± 0.00,69.31 ± 0.00,90.70 ± 0.00,77.42 ± 0.00
