,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,67.83 ± 0.00,72.19 ± 0.00,73.17 ± 0.00,69.19 ± 0.00,77.43 ± 0.00
tin,53.94 ± 0.00,78.26 ± 0.00,85.61 ± 0.00,66.02 ± 0.00,77.43 ± 0.00
nearood,60.89 ± 0.00,75.22 ± 0.00,79.39 ± 0.00,67.60 ± 0.00,77.43 ± 0.00
mnist,51.29 ± 0.00,80.34 ± 0.00,56.99 ± 0.00,95.72 ± 0.00,77.43 ± 0.00
svhn,54.37 ± 0.00,84.54 ± 0.00,71.03 ± 0.00,92.91 ± 0.00,77.43 ± 0.00
texture,48.31 ± 0.00,86.14 ± 0.00,91.30 ± 0.00,79.09 ± 0.00,77.43 ± 0.00
places365,60.23 ± 0.00,76.24 ± 0.00,57.58 ± 0.00,90.23 ± 0.00,77.43 ± 0.00
farood,53.55 ± 0.00,81.81 ± 0.00,69.23 ± 0.00,89.49 ± 0.00,77.43 ± 0.00
