epoch_num,num_seeds,nc5_mean,nc5_std_across_seed
10,1,0.4666845586032565,0.0
20,1,0.507707939764826,0.0
30,1,0.489103777180513,0.0
40,1,0.5290871218148682,0.0
50,1,0.5096254109225198,0.0
60,1,0.5130646806196887,0.0
70,1,0.5262987386836564,0.0
80,1,0.4842233372762795,0.0
90,1,0.4719648351917959,0.0
100,1,0.4673187214365103,0.0
